The url is https://en.wikipedia.org/wiki/List_of_the_sopranos_episodes
The table is 7
The values are
1,9.47
2,9.18
3,8.93
4,8.83
5,8.58
6,7.94
7,8.50
8,8.54
9,8.50
10,7.66
11,7.64
12,8.42
13,7.66
14,7.40
15,6.85
16,6.80
17,7.16
18,6.50
19,7.34
20,8.02
21,11.90
The url is https://en.wikipedia.org/wiki/List_of_the_sopranos_episodes
The table is 7
The values are
1,9.47
2,9.18
3,8.93
4,8.83
5,8.58
6,7.94
7,8.50
8,8.54
9,8.50
10,7.66
11,7.64
12,8.42
13,7.66
14,7.40
15,6.85
16,6.80
17,7.16
18,6.50
19,7.34
20,8.02
21,11.90
