The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 5
The values are
1,14.44
2,12.08
3,12.31
4,12.28
5,12.52
6,10.62
7,12.43
8,11.89
9,12.01
10,10.94
11,12.04
12,11.01
13,10.83
14,9.83
15,10.05
16,10.62
17,10.53
18,9.09
19,10.88
20,10.38
21,9.64
22,9.02
23,10.03
24,10.01
The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 5
The values are
1,14.44
2,12.08
3,12.31
4,12.28
5,12.52
6,10.62
7,12.43
8,11.89
9,12.01
10,10.94
11,12.04
12,11.01
13,10.83
14,9.83
15,10.05
16,10.62
17,10.53
18,9.09
19,10.88
20,10.38
21,9.64
22,9.02
23,10.03
24,10.01
