The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 2
The values are
1,12.60
2,9.99
3,8.82
4,9.35
5,8.66
6,9.32
7,8.77
8,9.16
9,7.12
10,9.67
11,10.22
12,7.83
13,9.83
14,9.19
15,9.84
16,8.01
17,8.95
18,9.18
19,9.51
20,8.88
21,10.01
22,9.48
23,10.34
24,10.14
The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 2
The values are
1,12.60
2,9.99
3,8.82
4,9.35
5,8.66
6,9.32
7,8.77
8,9.16
9,7.12
10,9.67
11,10.22
12,7.83
13,9.83
14,9.19
15,9.84
16,8.01
17,8.95
18,9.18
19,9.51
20,8.88
21,10.01
22,9.48
23,10.34
24,10.14
The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 2
The values are
1,12.60
2,9.99
3,8.82
4,9.35
5,8.66
6,9.32
7,8.77
8,9.16
9,7.12
10,9.67
11,10.22
12,7.83
13,9.83
14,9.19
15,9.84
16,8.01
17,8.95
18,9.18
19,9.51
20,8.88
21,10.01
22,9.48
23,10.34
24,10.14
