The url is https://en.wikipedia.org/wiki/List_of_24_episodes
The table is 5
The values are
1,15.31
2,14.34
3,11.91
4,13.34
5,11.51
6,12.20
7,11.52
8,11.10
9,11.42
10,13.16
11,14.55
12,13.09
13,12.05
14,11.55
15,11.58
16,11.06
17,11.64
18,11.08
19,11.03
20,10.88
21,11.00
22,11.67
23,12.23
24,12.23
The url is https://en.wikipedia.org/wiki/List_of_24_episodes
The table is 5
The values are
1,15.31
2,14.34
3,11.91
4,13.34
5,11.51
6,12.20
7,11.52
8,11.10
9,11.42
10,13.16
11,14.55
12,13.09
13,12.05
14,11.55
15,11.58
16,11.06
17,11.64
18,11.08
19,11.03
20,10.88
21,11.00
22,11.67
23,12.23
24,12.23
