The url is https://en.wikipedia.org/wiki/List_of_arrested_development_episodes
The table is 2
The values are
1,7.98
2,6.70
3,5.78
4,6.26
5,6.31
6,6.77
7,6.42
8,6.11
9,5.72
10,7.21
11,6.37
12,4.89
13,5.21
14,6.42
15,5.37
16,5.51
17,9.62
18,7.02
19,5.51
20,5.39
21,5.66
22,5.08
The url is https://en.wikipedia.org/wiki/List_of_arrested_development_episodes
The table is 2
The values are
1,7.98
2,6.70
3,5.78
4,6.26
5,6.31
6,6.77
7,6.42
8,6.11
9,5.72
10,7.21
11,6.37
12,4.89
13,5.21
14,6.42
15,5.37
16,5.51
17,9.62
18,7.02
19,5.51
20,5.39
21,5.66
22,5.08
