The url is https://en.wikipedia.org/wiki/List_of_The_Office_(U.S._TV_series)_episodes
The table is 3
The values are
1,9.0
2,7.13
3,8.3
4,7.6
5,8.0
6,7.9
7,7.5
8,8.0
9,8.1
10,9.7
11,8.7
12,10.3
13,8.7
14,8.6
15,5.42
16,8.95
17,8.4
18,8.8
19,7.8
20,7.8
21,7.4
22,7.6
The url is https://en.wikipedia.org/wiki/List_of_The_Office_(U.S._TV_series)_episodes
The table is 3
The values are
1,9.0
2,7.13
3,8.3
4,7.6
5,8.0
6,7.9
7,7.5
8,8.0
9,8.1
10,9.7
11,8.7
12,10.3
13,8.7
14,8.6
15,5.42
16,8.95
17,8.4
18,8.8
19,7.8
20,7.8
21,7.4
22,7.6
