The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 3
The values are
1,12.67
2,11.92
3,11.44
4,11.45
5,11.97
6,13.14
7,12.24
8,12.09
9,10.57
10,11.07
11,11.83
12,11.12
13,10.94
14,13.16
15,10.57
16,10.17
17,10.11
18,10.90
19,9.61
20,9.95
21,9.90
22,10.15
23,10.30
24,10.31
The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 3
The values are
1,12.67
2,11.92
3,11.44
4,11.45
5,11.97
6,13.14
7,12.24
8,12.09
9,10.57
10,11.07
11,11.83
12,11.12
13,10.94
14,13.16
15,10.57
16,10.17
17,10.11
18,10.90
19,9.61
20,9.95
21,9.90
22,10.15
23,10.30
24,10.31
