The url is https://en.wikipedia.org/wiki/List_of_mad_men_episodes
The table is 4
The values are
1,2.76
2,1.90
3,1.61
4,1.51
5,1.75
6,1.57
7,1.73
8,1.91
9,1.53
10,1.61
11,1.72
12,1.78
13,2.32
The url is https://en.wikipedia.org/wiki/List_of_mad_men_episodes
The table is 4
The values are
1,2.76
2,1.90
3,1.61
4,1.51
5,1.75
6,1.57
7,1.73
8,1.91
9,1.53
10,1.61
11,1.72
12,1.78
13,2.32
The url is https://en.wikipedia.org/wiki/List_of_mad_men_episodes
The table is 4
The values are
1,2.76
2,1.90
3,1.61
4,1.51
5,1.75
6,1.57
7,1.73
8,1.91
9,1.53
10,1.61
11,1.72
12,1.78
13,2.32
