The url is https://en.wikipedia.org/wiki/List_of_mad_men_episodes
The table is 3
The values are
1,2.06
2,1.33
3,1.25
4,1.07
5,1.47
6,1.46
7,1.67
8,1.87
9,1.60
10,1.30
11,1.50
12,1.40
13,1.75
The url is https://en.wikipedia.org/wiki/List_of_mad_men_episodes
The table is 3
The values are
1,2.06
2,1.33
3,1.25
4,1.07
5,1.47
6,1.46
7,1.67
8,1.87
9,1.60
10,1.30
11,1.50
12,1.40
13,1.75
The url is https://en.wikipedia.org/wiki/List_of_mad_men_episodes
The table is 3
The values are
1,2.06
2,1.33
3,1.25
4,1.07
5,1.47
6,1.46
7,1.67
8,1.87
9,1.60
10,1.30
11,1.50
12,1.40
13,1.75
