The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 6
The values are
1,11.68
2,11.68
3,11.12
4,10.64
5,10.94
6,10.32
7,10.75
8,10.19
9,9.47
10,10.61
11,9.51
12,9.14
13,9.59
14,9.87
15,8.52
16,9.22
17,9.39
18,10.09
19,9.00
20,9.59
21,8.39
22,8.55
23,9.08
24,10.45
The url is https://en.wikipedia.org/wiki/List_of_modern_family_episodes
The table is 6
The values are
1,11.68
2,11.68
3,11.12
4,10.64
5,10.94
6,10.32
7,10.75
8,10.19
9,9.47
10,10.61
11,9.51
12,9.14
13,9.59
14,9.87
15,8.52
16,9.22
17,9.39
18,10.09
19,9.00
20,9.59
21,8.39
22,8.55
23,9.08
24,10.45
